symbol,yahoo_ticker,name,sector
A2A,A2A.MI,A2A,Utilities
AMP,AMP.MI,Amplifon,Healthcare
AZM,AZM.MI,Azimut,Financial Services
BAMI,BAMI.MI,Banco BPM,Banking
BMED,BMED.MI,Banca Mediolanum,Financial Services
BMPS,BMPS.MI,Banca Monte dei Paschi di Siena,Banking
BPE,BPE.MI,BPER Banca,Banking
BC,BC.MI,Brunello Cucinelli,Consumer Goods
BZU,BZU.MI,Buzzi,Construction Materials
CPR,CPR.MI,Campari,Food Beverage
DIA,DIA.MI,Diasorin,Healthcare
ENEL,ENEL.MI,Enel,Utilities
ENI,ENI.MI,ENI,Energy
ERG,ERG.MI,ERG,Energy
FBK,FBK.MI,FinecoBank,Banking
G,G.MI,Assicurazioni Generali,Insurance
HER,HER.MI,Hera,Utilities
IG,IG.MI,Italgas,Utilities
INW,INW.MI,Inwit,Telecommunications
IP,IP.MI,Interpump,Industrials
ISP,ISP.MI,Intesa Sanpaolo,Banking
LDO,LDO.MI,Leonardo,Industrials
MB,MB.MI,Mediobanca,Banking
MONC,MONC.MI,Moncler,Consumer Goods
NEXI,NEXI.MI,Nexi,Financial Technology
PIRC,PIRC.MI,Pirelli,Consumer Goods
PST,PST.MI,Poste Italiane,Financial Services
PRY,PRY.MI,Prysmian,Industrials
RACE,RACE.MI,Ferrari,Automobiles
REC,REC.MI,Recordati,Healthcare
SPM,SPM.MI,Saipem,Energy
SRG,SRG.MI,Snam,Utilities
STLAM,STLAM.MI,Stellantis,Automobiles
STM,STMMI.MI,STMicroelectronics,Technology
TIT,TIT.MI,Telecom Italia,Telecommunications
TEN,TEN.MI,Tenaris,Energy
TRN,TRN.MI,Terna,Utilities
UCG,UCG.MI,UniCredit,Banking
UNI,UNI.MI,Unipol,Insurance
