Date,A2A,AMP,AZM,BAMI,BC,BMED,BMPS,BPE,BZU,CPR,DIA,ENEL,ENI,ERG,FBK,G,HER,IG,INW,IP,ISP,LDO,MB,MONC,PRY,PST,RACE,REC,SPM,SRG,STLAM,STM,TEN,TIT,TRN,UCG,UNI
2015-01-02,,,,,,,,,,,,,52540633149.49036,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,,,,,,,,,,,,,48147241387.88223,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,48795447686.862946,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,,,,,,49047526387.88223,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,50956129626.27411,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,49047526387.88223,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,49299605088.90152,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,50091856850.50964,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,48615390000.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,50415960000.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,52108496761.60812,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,,,,,,,,,,51676360373.72589,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,,,,,,,,,,51388269448.47107,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,,,,,,53188839448.47107,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,,,,,,,,,,54377215373.72589,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,54197157686.862946,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,,,,,,,,,,54701315088.90152,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,54809351761.60812,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,,,,54737327313.137054,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,,,,,,,,,,,53765021298.98071,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,,,,53656984626.27411,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,54341203149.49036,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,56357839626.27411,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,,,,,,,,,,,55565591298.98071,,,,,,,,,,,,,,,,11900960983.585358,,,,,,,,
2015-02-05,,,,,,,,,,,,,56501885088.90152,,,,,,,,,,,,,,,,12171753570.684433,,,,,,,,
2015-02-06,,,,,,,,,,,,,56033739911.09848,,,,,,,,,,,,,,,,12213413323.911667,,,,,,,,
2015-02-09,,,,,,,,,,,,,55637612313.137054,,,,,,,,,,,,,,,,12491148923.807144,,,,,,,,
2015-02-10,,,,,,,,,,,,,55529579074.74518,,,,,,,,,,,,,,,,12303677519.611359,,,,,,,,
2015-02-11,,,,,,,,,,,,,54341203149.49036,,,,,,,,,,,,,,,,11942621575.037003,,,,,,,,
2015-02-12,,,,,,,,,,,,,55745645551.52893,,,,,,,,,,,,,,,,12192583447.29805,,,,,,,,
2015-02-13,,,,,,,,,,,,,57042058149.49036,,,,,,,,,,,,,,,,12025941919.715881,,,,,,,,
2015-02-16,,,,,,,,,,,,,56501885088.90152,,,,,,,,,,,,,,,,12137035992.02919,,,,,,,,
2015-02-17,,,,,,,,,,,,,56609921761.60812,,,,,,,,,,,,,,,,12671677315.206528,,,,,,,,
2015-02-18,,,,,,,,,,,,,58518525000.0,,,,,,,,,,,,,,,,13102166740.642548,,,,,,,,
2015-02-19,,,,,,,,,,,,,58518525000.0,,,,,,,,,,,,,,,,12893865459.833145,,,,,,,,
2015-02-20,,,,,,,,,,,,,58950664822.19696,,,,,,,,,,,,,,,,12935526051.28479,,,,,,,,
2015-02-23,,,,,,,,,,,,,59202743523.21625,,,,,,,,,,,,,,,,12671677315.206528,,,,,,,,
2015-02-24,,,,,,,,,,,,,59958979626.27411,,,,,,,,,,,,,,,,12928582200.263977,,,,,,,,
2015-02-25,,,,,,,,,,,,,59346785551.52893,,,,,,,,,,,,,,,,12671677315.206528,,,,,,,,
2015-02-26,,,,,,,,,,,,,59562858896.94214,,,,,,,,,,,,,,,,12685564179.023743,,,,,,,,
2015-02-27,,,,,,,,,,,,,60067016298.98071,,,,,,,,,,,,,,,,12754997659.885406,,,,,,,,
2015-03-02,,,,,,,,,,,,,59490834448.47107,,,,,,,,,,,,,,,,12879978596.01593,,,,,,,,
2015-03-03,,,,,,,,,,,,,58806615925.25482,,,,,,,,,,,,,,,,12859147881.177902,,,,,,,,
2015-03-04,,,,,,,,,,,,,58806615925.25482,,,,,,,,,,,,,,,,12720280919.454575,,,,,,,,
2015-03-05,,,,,,,,,,,,,59094706850.50964,,,,,,,,,,,,,,,,12775827536.499023,,,,,,,,
