date,MST_method1_degree_weighted,MST_method1_market_cap_same_X,MST_method2_degree_weighted,MST_method2_market_cap_same_X,MST_method3_degree_weighted,MST_method3_market_cap_same_X,MST_method4_degree_weighted,MST_method4_market_cap_same_X,Top_market_cap_weighted
2018-01-02,99251.51010971297,99481.56270464176,100086.724683613,99594.18451736456,99501.35709697702,99607.35005156454,99585.49297414847,99641.28175788355,99627.32189315908
2018-01-03,99063.58480943544,99364.22846838579,100198.49012349623,99454.69586186144,99570.75500694384,99699.87102168718,99662.9105211581,99790.96056598477,99533.57940582819
2018-01-04,101197.56334863631,101699.11674099532,102829.76785984554,101799.17746970941,102262.11376184654,102373.51166581364,102314.43845671607,102579.28309385863,101765.31134679787
2018-01-05,102210.43495010349,102794.92066043243,104194.09738154747,102878.484421463,103630.26959857531,103441.90402292126,103290.03218249996,103673.79132657152,102235.4183586969
2018-01-08,102117.41135376571,102817.64697756457,104335.34620910634,102913.9055941709,103686.94869958579,103564.99395449652,103291.59404873462,103778.38791138997,102369.13090527992
2018-01-09,102696.66598497558,103233.93815933203,105160.30252832834,103332.8782100575,104362.23745036346,103969.01149943097,104182.15555991288,104253.87006642944,102468.59927571964
2018-01-10,103658.8466610172,104178.86176535056,106142.74409388044,104296.65232520289,105346.73506253625,104697.8316513041,104732.35824053777,104867.01700506413,104011.70119024729
2018-01-11,103733.53718297272,104575.00481736271,106599.14861606089,104763.30174679331,105890.12637186234,105298.09445103699,105184.735293221,105490.37876311796,104244.42348857634
2018-01-12,104275.62888270445,105049.70400279223,107017.64224305878,105205.6594234398,106323.51732066614,105805.60949010054,105798.6851553832,106038.18799042603,105179.73471018398
2018-01-15,105937.7189548425,106019.20046705681,108641.82533223958,106142.04214482334,107947.59848971892,106802.97250935565,107741.15224336644,107050.0868229716,105552.42678588479
2018-01-16,106032.17457817907,106532.695289909,108236.0983648052,106666.16027689438,107698.56701402008,107223.74454781681,107605.14510570762,107486.39665502391,105241.78054416654
2018-01-17,106185.08556973703,106607.91485963293,108387.59741998214,106728.93103903625,108001.2450259558,107439.17516393712,107887.28549293194,107719.88111798033,105458.14855345523
2018-01-18,106485.885632297,107026.28028050733,109029.96712102176,107147.63449981491,108543.8690088255,107832.91894564127,108349.9223396981,108079.59597626071,105219.73752829827
2018-01-19,107010.42618339669,107300.39485481488,109340.74083072455,107376.74190871582,108972.09726849225,107911.38892814323,108903.28190910243,108172.23036768868,105305.82855522374
2018-01-22,107744.50905563546,107828.50067746855,110068.15260355525,107893.22529717888,109740.87232582681,108478.88079454152,109655.39254753171,108722.26857976419,106149.67662863474
2018-01-23,107843.70660937896,107657.64420476013,110040.59185583387,107672.20737418359,109552.1947966475,108221.89411776645,109566.87605299677,108488.19973128404,105707.15135835597
2018-01-24,107205.72215287406,106911.22283282236,109132.11354022157,106887.66839161699,108718.92274270095,107170.6561932708,108635.79023964528,107380.92553032965,105176.03834662656
2018-01-25,107389.98190225533,107137.1644471395,109553.54946738978,107165.41564981283,108955.59972361887,107371.17756197802,108886.6823522836,107591.63902329149,105387.51942908867
2018-01-26,107790.0707326577,107627.94470689759,110351.40157287102,107676.94134887711,109608.92789952311,108012.95836017223,109511.89391998906,108310.2891971052,106015.19528202509
2018-01-29,107549.72142182013,107203.6833129671,110172.06970476397,107234.97600681118,109332.34650282233,107523.63635016048,109090.44089311137,107779.29036708034,105157.87717475387
2018-01-30,106003.54063420978,105785.97760919876,108775.78878574986,105849.24000845368,107904.5131269041,106197.99990830771,107351.09349398284,106406.381091882,103722.75380213995
2018-01-31,106369.17663819573,106079.29314359806,108808.20245565272,106125.69943296886,108337.40270230085,106594.84349348793,107816.64707862478,106796.33451368911,103959.66204936733
2018-02-01,106259.17386642739,105940.47840215106,108474.74137499041,105956.5649788798,108909.92843439219,107137.2040567222,108302.84785239297,107316.56937776231,103941.80710433362
2018-02-02,104966.05972745559,104576.38417605746,107060.2920580117,104627.31777039391,107666.432418009,105863.33410295907,106810.13100522642,105934.46315122588,102358.6254650824
2018-02-05,103975.0626607853,103374.74634802259,105966.76883943715,103445.50833391734,106364.71134738241,104562.23798532842,105647.47781134497,104605.31645083516,100990.50487348379
2018-02-06,101929.54607247951,101378.8582820201,103562.76484360127,101398.56289548635,104397.5922653904,102758.60510371465,103882.9847491281,102877.09692398885,100429.8722489496
2018-02-07,104627.24984704069,103874.76853278182,106348.20117712868,103866.48952362165,107169.53891859205,105138.07937585555,106580.03174792747,105322.65375677416,102520.05311077659
2018-02-08,102447.45497025989,101572.59112036754,103415.50719968927,101542.27071842615,104677.68672289504,102625.24317599344,103877.34950200032,102680.29866169559,100534.69936441378
2018-02-09,101172.45974363362,99866.76409928738,102169.48720666548,99892.91226207773,103242.77989844789,100869.81203933606,102546.50310134335,100841.6340773966,100233.48440929664
2018-02-12,101341.53718235712,100538.41234025653,102682.28580830253,100613.65192856261,103560.04136185077,101616.1300547262,102764.32593771606,101582.90353088126,99571.10004884467
2018-02-13,100215.10481594456,99502.54257206834,101743.05897049306,99673.62868901125,102537.67230427526,100787.23299511035,101792.73580906568,100726.21177996512,97311.21844053244
