Date,A2A,AMP,AZM,BAMI,BC,BMED,BMPS,BPE,BZU,CPR,DIA,ENEL,ENI,ERG,FBK,G,HER,IG,INW,IP,ISP,LDO,MB,MONC,PRY,PST,RACE,REC,SPM,SRG,STLAM,STM,TEN,TIT,TRN,UCG,UNI
2015-01-02,6293756.3453679085,647118.5125946999,12928551.113243103,36760643.600349426,1934959.9182128906,7937882.048096657,23209423.25439453,18771518.233021736,7354599.0,6305281.455352783,1276328.8160705566,114414514.0755415,194493995.86409378,1703012.3623847961,3777073.55761528,82065411.20922089,779004.8158760071,,,3526661.3286733627,294715239.98187065,19552934.558246136,27813615.222682953,3266657.2799453735,15475601.043783188,,,1593398.411195755,31751721.114351273,17006565.10747814,82410621.25026941,21063318.564486504,34386887.334251404,44535662.39345777,25770199.04027772,267972580.26930428,1523446.603140831
2015-01-05,9958267.45073247,3135082.4844994545,17168286.95442581,64146693.01819229,672469.9598350525,14356484.445770264,41901877.36230469,25474135.456097603,12228823.46752739,12004391.82201004,2571429.6573638916,250121907.24428654,512292376.0750179,1515393.7828903198,1874309.3880195618,160348045.78835297,1803569.2735815048,,,7840801.602407455,453640078.36901236,26107600.26681471,37891565.34026241,7497819.454246521,19589592.417476654,,,1558319.25,47267681.28733063,38314964.45390701,146459969.65083122,32838048.25,39452766.28785896,93146995.06270278,38277065.661533356,439534699.65164566,3172864.0
2015-01-06,9484593.969453335,1199623.2977671623,16554866.377275467,56595728.11359739,898421.3080215454,12221179.664611816,22506391.916748047,32596610.368424654,16672110.0,10821131.653644562,1296973.5707244873,228749556.79498672,438887974.97795105,2556080.772907257,1697284.964811802,106968774.0,1588798.7497901917,,,1525396.3598556519,401715208.0437765,26900396.95096302,28573922.054147243,6782846.8554496765,22279121.89181328,,,1862911.7542476654,43659661.24708557,29591278.542462826,151710590.45015717,26792780.447707653,38251572.79993057,67361407.73103762,35337102.26388645,413837798.9242058,5032390.257944107
2015-01-07,6936300.509632111,2446381.727657318,17912198.92730713,57492481.2276268,1304345.0,11439146.706018448,31401708.22314453,26332086.086528778,24809360.12084675,10808547.839911938,603665.1362724304,161786775.7566681,316160798.56348515,1417466.3287353516,1615802.1462965012,85632778.29997253,2437616.9537522793,,,3161229.5505228043,452517831.23467445,25217890.265464783,33312391.734356403,6925001.8934726715,22019198.216560364,,,1841514.3275527954,47266314.30627823,49290937.359404325,197192783.9263916,36591741.128944874,43782671.37262821,67821169.22404468,42526121.76064062,476039094.58309364,5581380.167045116
2015-01-08,10593775.175978541,5241796.767668724,15128128.808933258,52022860.08967638,524426.17370224,13699013.627381325,88139775.41455078,29418984.89296198,13686254.49003601,20616014.472898483,503271.22299194336,246869998.73807907,457283358.5721016,1024780.6546154022,5034578.477697372,138773940.42011642,3571174.417114258,,,2153293.25,511856612.7605214,34605047.19451523,32190866.98914814,9855999.651392937,20233442.91450119,,,1068174.469013214,45345882.862098694,52237207.33934927,165976253.18837643,36786091.76685047,31109180.019224167,103597508.875,36909520.24218273,519750238.1281986,7052184.689792395
2015-01-09,9131496.146878004,1966189.3510580063,15616292.641067505,73294377.08860016,809190.934879303,10523754.548225403,63006518.77734375,31979405.40312767,10903522.879312515,9666655.810905457,1165426.3234977722,221632395.7435274,267426082.71297455,927689.0070800781,5707099.615994453,146997669.40320015,2914760.5961852074,,,2967805.61542511,516314010.0882187,32034031.14934683,43226465.04023743,17724430.61011219,16287460.146170616,,,1836837.4342775345,36444113.02024841,46613166.38686752,136536123.87008095,48555196.94738102,49028790.70072651,74499044.64534527,33263828.053374767,624792396.391182,4024371.6118454933
2015-01-12,6153905.064311504,1280552.4183883667,10950523.233772278,57703762.405254364,1631936.5310211182,9469384.689569473,36785282.84033203,29241028.55692911,6879327.787931442,6346025.922693253,1275230.992515564,176722187.9663849,223823525.55951118,1295226.719988823,1818485.2034683228,97341515.281456,2647475.84550333,,,2077373.2999839783,301913750.0815511,26208147.491313934,25575350.010822296,6409241.517791748,11331246.135455132,,,1325605.0812015533,103644405.82849503,38223858.12788677,120278376.16580772,35814643.040914536,35696796.00550461,66397077.95008296,26125778.678847313,376684151.9587097,3143528.776869297
2015-01-13,6265074.5625,2655097.382686615,14623725.29373169,45441742.42730141,3813282.8230342865,14489767.098591328,27823090.951660156,29002120.34079194,10528452.542467117,11377830.892627716,1308111.0597610474,161578384.13687897,281552946.7714615,1575314.8450613022,3005313.3376936913,102133138.07840347,4873432.791508198,,,2302705.2132463455,344934704.6718178,29981372.95756817,23565120.486162186,12677927.5339365,17117473.838430405,,,2346630.640282631,51061749.11104584,40451319.17074919,176399361.43341064,41981637.39601135,37007420.16433334,156221939.5126968,31553872.333667755,356734017.11291885,3989154.4277620316
2015-01-14,7246742.4151316285,1606431.75,13255786.82207489,42972969.24359512,2385808.937210083,10002264.162659645,29344397.396484375,34172198.02404785,26740228.007775307,12832595.371250153,1600351.2490272522,172377061.18770552,245736558.0,875226.8508224487,3584388.4249248505,99631007.1511116,3820654.0,,,2650394.568634033,452836444.43320036,27614281.542711735,30065575.223516464,11210371.009088516,33679091.77821064,,,3854178.4533233643,55541022.63658142,43752869.96644592,133854660.20391273,45397925.669661045,29601247.5,112799240.66024661,47403805.547721386,471146325.26724243,5585796.650027275
2015-01-15,12018700.0602898,2976616.0479240417,18083714.209178925,56518140.60585928,2969834.386035919,14938577.77846241,29039343.657714844,31364372.754688263,19934693.557502747,11328706.38185978,3890277.3220062256,278708923.90089035,506766400.0,2353829.666650772,2021917.1051192284,213518582.08624268,2865381.9623708725,,,2708798.0,592917340.8268452,62313056.27189827,51792647.29052687,27478361.534570694,24322653.197856903,,,1665596.0153074265,89671833.41067886,49984065.77454662,155406319.36147594,67063280.05349827,71695270.53121471,134031280.36218745,43376397.98095107,515507966.87016296,4545957.846261978
2015-01-16,9580105.926504135,1737952.3612718582,14899610.21364212,60685767.47168541,1275521.6321487427,9624350.000842571,32478792.428222656,33448669.64602661,12305203.639492989,19204594.764235497,2192513.5105133057,198708868.04371834,385243571.4592695,2135347.79397583,3081696.336110115,148989052.14571953,3248643.5215215683,,,1355489.6219100952,508609614.9928973,74783561.0,29560657.573883057,23970209.82941532,14453542.974472046,,,1942583.6154050827,60196143.57793808,55149707.64295292,125962759.56747055,30897548.809089184,33960360.30831814,134159202.97013867,38535630.7123127,463851591.84407234,4694217.355675697
2015-01-19,5324046.940505385,871146.821228981,15644012.87197113,158141151.78040504,1758337.3014526367,8669752.989522934,57639071.32080078,99940884.84343052,9114527.249565125,10440595.0,2346001.9318008423,106438394.48919511,210265963.58955383,3339383.002840042,2792189.5196557045,142711559.5424137,1822997.307596445,,,2004933.6809120178,385827588.8869107,35644566.044623375,57160962.67865181,17315685.253852844,17660491.52835846,,,3293274.5184230804,36521637.917375565,26810326.339948654,100006657.47676039,30672539.722346306,38936202.59235191,64114523.20309979,23431854.507703543,460493066.4256897,5742987.114789486
2015-01-20,8760399.079440057,637032.3754062653,18671910.696224213,170623633.92735958,1423461.0,11195996.3190794,60721058.22265625,77967028.12653255,9988042.730818748,8231462.685721874,1446045.7343978882,145979510.75286865,281535165.0412941,2521275.0476436615,4631197.730412006,151478350.93025208,3241961.0577807426,,,1787421.2214708328,438447855.6129086,31681092.018289566,29529116.50396061,15491105.0,25371998.890677452,,,3128161.0861587524,58616893.15843201,29587616.87802887,123430807.8036375,39021317.49987316,54399272.25077438,62817186.43784726,37303052.88948679,386656823.0556412,2593494.283241272
2015-01-21,32233791.644380093,2563348.4227046967,16825386.60131836,202312372.11118698,1344648.0491638184,11168170.690904617,51456699.99316406,107765001.64230919,12575707.667598724,17470243.14432621,1940865.456829071,183783752.94093466,299075346.52918243,2112129.208536148,2384693.3816986084,161020494.0,2448928.949913025,,,1786608.6214838028,537377048.7094793,37791007.61361694,43667638.43519974,19518800.801624298,19361937.889015198,,,2824398.205833435,96081765.9992981,65278035.46253204,151712035.2048111,41949335.25777912,28032961.25,102142038.35540962,36151402.14635968,541390045.7050877,4152487.069468498
2015-01-22,19601747.930986285,1692748.4441037178,29249812.04322052,138282536.32061768,1915500.838256836,22013155.134117126,71885492.23925781,100727740.85065699,20485217.555023193,13724431.241861343,2225624.3798179626,325412345.2600522,470333407.58198357,3018867.332558632,3322569.357869625,226603557.02522278,3087402.1869778633,,,3149846.5990276337,831631007.0923984,54890345.82361221,52540994.873122215,16997971.98401928,26848177.046741486,,,2880779.7831115723,143843956.5766697,87439442.17744446,247751827.05573273,54012027.38848877,46145804.527210236,130004773.28950047,57176858.472818375,738239754.6105728,13867233.099363327
2015-01-23,11629779.159307599,1063903.7252197266,40980249.67349625,103227828.35213184,2133984.0847969055,28933760.35720539,53624942.009765625,84773456.2939024,18790270.876218796,12226842.499648571,4112772.121208191,248444175.36421895,443856983.5251827,1714717.6164073944,9280156.266906738,223899574.31807518,5560512.560119629,,,9962979.957738876,647588650.1405246,47192541.70212555,41630036.645427704,31251585.51654339,32219968.69369507,,,4622041.380054474,77269972.86283493,55942853.710644245,351812978.8807306,71663425.95929146,40125717.59793663,312862786.99165463,48219166.234889984,674595674.6573257,9773694.09115696
2015-01-26,12062760.20879209,1623073.326289177,22102539.700073242,58472155.2993927,4895698.406152725,14743735.754925728,36208445.66796875,54311300.57467222,18627266.212265015,8504640.925600052,2787923.339744568,212152484.97418118,352313812.2674942,2528681.7054748535,5340779.721575737,145706505.71074677,8180251.211013794,,,5470819.3656311035,363119160.88064194,37093163.82861328,51140119.06181574,12849723.785598755,26577100.758659363,,,4308613.64461422,83914014.38160896,42109780.74566603,340612073.0568476,59223090.2101326,35001026.89477062,122978138.54719627,27139683.079502106,417279369.30306244,8467191.68970871
2015-01-27,36770358.234877646,847474.981110096,16430511.281166077,36800811.174964905,2653181.602060318,19656572.340250492,24402727.138671875,51482014.252093315,14029273.243894577,12765482.044277668,3500595.0243415833,162087679.32946682,317153452.3643303,3091195.0,5068743.399799347,145259410.0,2301419.762965679,,,2558661.986148834,377705395.0216603,44179936.23259735,70117361.29440308,12639315.0,44581682.69874573,,,1870084.7495498657,116378379.97335434,48007949.03846741,295475761.5586114,92745091.79661751,34860570.3897419,117355589.20809925,32463572.51091051,400853357.16916084,5050264.59616375
2015-01-28,21093627.934250712,979177.2365641594,12629891.791843414,53617535.86945152,1570833.4439563751,24296906.4357872,56575311.20727539,50053547.574510574,13553580.371334076,8091682.291419983,2222982.151954651,140272514.92439175,389122609.5171547,4492976.565597534,3857201.1756134033,106234560.92386627,7400862.10337019,,,3550677.7929267883,420507931.26467705,93121965.09329796,45684643.45412636,6742955.90256691,26044464.8422966,,,1651555.8939037323,118246780.88223267,46979796.38497543,419042524.1567459,74183683.125,49601344.25423622,105464296.0,23285778.773976803,487050615.03266335,5047324.148886681
2015-01-29,11703975.90816021,2392275.739469528,17003245.76272583,44954888.06049347,1801630.1796913147,28742300.81313753,89371104.42578125,48083863.51776886,14244232.916107178,22361862.7593956,1813360.9608078003,146849345.63562012,341000460.4701996,1732317.432483673,4702138.722877502,136092675.22335052,3665446.796651602,,,1368952.2414455414,486990078.8371813,81108734.05405998,52914245.001936436,11040545.503697395,26939828.92698288,,,1394664.7186021805,75064861.49241257,31124515.091252327,206338651.7290454,56625659.403948784,42106335.59627056,118104335.52448654,20389509.680185795,420759524.76581573,2810157.763593197
2015-01-30,8684749.685547352,2170652.1781167984,9506764.006084442,36565255.547561646,36786274.090530396,26843549.309016705,126216968.49121094,42672305.439250946,14640139.033991814,10855014.0,4280653.681854248,145055114.30340958,347684905.29857254,2069857.2874212265,2447305.79987669,138127611.73545456,1693266.2495326996,,,2164935.1810569763,435045082.0262141,77289035.50306797,28907533.045097828,6497766.5104522705,17401732.20879078,,,2716285.729270935,69499102.40715027,51401343.654699326,135197814.9680729,35156110.91932392,36691473.214164734,129262179.37931252,33710080.43299484,531426742.40231323,4194647.803115845
2015-02-02,8053602.310063601,2741034.664750576,10997908.951301575,44585972.07319641,7807362.764545441,20968615.49635172,92351162.09667969,34273940.52115631,23504870.249985695,12152158.365259647,2263226.25,169674250.03575325,424649746.5339966,2690228.9486370087,2777779.0362796783,109880292.43593979,3281065.706913471,,,2048759.6424560547,436839666.16509914,48609013.380618095,25636368.536151886,9846499.579666138,13030743.198623657,,,5172280.474365234,87945303.0272522,37369469.665540695,123658334.04214668,28312635.780363083,46088475.80287933,106311787.7695334,22224431.41887474,401361023.8329792,5688057.430046082
2015-02-03,19101083.353054047,1653104.7056884766,41502795.26606178,74483189.7399931,6003434.051662445,15683107.167842865,69773895.67382812,45813162.10094929,20503979.21367073,10887894.167722225,3747427.5,199243387.04484272,558961192.5252857,2892002.6983680725,6658578.453071594,154055206.4852829,2857466.302196026,,,1738237.7764177322,479914145.630074,37424983.29351044,36773120.453253746,15696853.017997742,35818558.2006073,,,2670188.8382987976,106487438.66952324,53572460.402634144,243685289.9766121,31379341.175017357,77229784.85486603,121411216.66936707,30936990.683637142,614550635.1413803,9005124.629693985
2015-02-04,40074000.14583802,5273948.298377037,15583692.67367363,105192450.81898212,5567030.648838043,8891079.286574364,69131723.57519531,73631852.66680717,18282222.061424255,8797643.676105976,4710713.603050232,170610666.36991262,325619389.02012634,2126092.0,4740219.484946728,98186703.0947113,5086708.875630856,,,1570309.7236261368,372020966.49695563,68813420.65485954,37858280.14692736,8336658.979153633,22267550.66622734,,,4816794.667808533,99933398.77867126,59917601.55655289,242683298.53235245,53421965.27418995,49408350.53610134,95221406.7104317,23887898.053462982,389700748.09311295,5013711.420906544
2015-02-05,12714274.512454629,2624141.471513748,14126392.049900055,67221059.45515633,3935479.185064316,10887961.559391499,51365240.49316406,41049334.042063236,15469963.950395584,5990009.248416901,1688225.810256958,288580099.8836694,355568104.1406107,1578663.3144187927,6634052.245408535,105721164.09118652,4513158.403602123,,,1814835.0,329168252.8772354,63408230.29838562,35866764.84134102,9366667.428045273,33175187.474472046,,,4508560.337230682,85904488.88383293,52780260.92999458,218099636.0726452,33131545.984253883,43908346.95165157,159738534.32008374,31980395.840842724,294586459.06799316,5313338.752392769
2015-02-06,6451822.506065369,2283233.820093155,15904341.809703827,83194968.1563797,1911075.6391944885,7197887.987350464,69387556.83398438,45641757.26310158,13940599.837142944,6005539.345059395,1789742.158126831,140515338.13604784,265360573.916152,6596715.71650219,4013310.9587130547,65996686.1135788,2176387.6273026466,,,1762794.0316200256,266038815.6895504,44448232.40134621,20472901.833781242,12080214.825119019,13182323.318893433,,,6620599.848855019,105891000.24777031,31474653.123218536,186816003.49259377,21249130.656715393,36662605.326208115,127485737.91708112,20860595.709448814,295111176.84033203,3755315.7221446037
2015-02-09,16163973.747090816,2688774.911058426,25989275.290878296,63443896.2020874,2385734.3005371094,23138578.06441784,56158301.84082031,59269905.09222412,10233919.126659393,9898943.282676697,1257872.0272636414,220470793.07248497,276835707.6323805,2340904.1172599792,12701806.589713097,163027326.91439438,2568720.2395908833,,,1191547.5523643494,431970303.66445374,55151513.390304565,26696627.467370033,10383240.444059372,22402772.7072258,,,3625012.1016788483,86914374.40260887,59832922.82255602,161471334.38950348,27512122.5,53123326.42992306,105015734.79617411,28920246.726647615,339116069.4739723,5308239.369407654
2015-02-10,9867811.925968409,2602272.116630554,17444357.57932663,53432219.70804596,1797589.3874454498,16510998.445828438,53329701.88232422,47961537.990896225,12708018.602705002,9733236.0,2503875.8722686768,175529825.91608167,291355288.5615463,1852702.6651382446,14406114.06611538,95461520.1936264,3380551.5332329273,,,2451371.0,518433533.27949476,35521898.123313904,76430743.3552742,7744986.742796898,20872394.26044464,,,3239353.2110996246,102737615.25452042,43999825.61576843,222067225.4564724,39947454.719732285,55447443.998806,126765363.96968067,21067455.84540367,417109490.02103424,4581680.780719757
2015-02-11,24584595.0662241,2036037.7851161957,10643166.517089844,50542909.199851036,2467974.0,20887912.02591753,46411271.18481445,55904349.92057705,12653290.137203217,6629915.962434769,1782167.2817687988,206754481.3785553,319695249.32271194,2467965.707011223,10229038.007304668,80207685.63134003,7255259.073419809,,,1953299.5286750793,352355757.0756674,32514808.99472809,36229232.300355434,3564058.5088062286,14377257.86604309,,,2715971.3525247574,70879502.93545914,136168554.38385487,120979231.71985197,28183463.100041866,32897814.295663834,68644488.48394197,118041705.17892838,568227162.07547,43315208.596517086
2015-02-12,24658227.89013946,802086.6402869225,25934050.357379913,134026828.52602959,4155715.654575348,19918612.684597015,157409527.39453125,57411578.02700758,25252893.990486145,16163964.761273861,1134357.6488952637,213904862.26408672,358001893.6534195,2202448.9426460266,4675543.312368393,116473299.50134277,4023113.687198639,,,2498788.465698242,691808280.6242123,32326804.20871353,70049542.65230656,5731695.815580368,27514244.841583252,,,11085191.706342697,72247779.93491364,58498956.91353321,290809778.11891556,43446441.673101425,49738990.20403671,81627918.27702749,37971232.48633385,604217234.2004013,17684914.162857056
2015-02-13,14259060.639259636,1389798.3777313232,16002254.279193878,83755343.31319046,1069796.7644309998,15013731.251174927,146375675.53710938,46807746.35360432,12180855.151147842,7670123.27173233,1849515.559452057,156503167.26261687,316255994.08651733,3225527.292066574,5442809.718917847,90054407.5692482,2793952.970954895,,,12121823.25389862,634697303.7592537,31804048.01882744,118810811.71205187,4217857.932415009,31571511.535354614,,,4996322.336508751,68840404.5747757,28218213.206632614,194330538.29167366,29590544.286658287,41110470.0,73562982.16993028,26767026.052176,502630481.75670624,12442340.134421825
