Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,YahooTicker,Symbol,Name,Sector
2015-01-02,18.6200008392334,18.649999618530273,17.0,18.049999237060547,16.528907775878906,107200,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-05,17.979999542236328,18.229999542236328,17.65999984741211,17.809999465942383,16.309133529663086,37758,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-06,17.93000030517578,17.940000534057617,17.09000015258789,17.09000015258789,15.649807929992676,52570,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-07,17.25,17.549999237060547,17.200000762939453,17.5,16.025257110595703,74534,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-08,17.6200008392334,17.770000457763672,17.34000015258789,17.520000457763672,16.043575286865234,29933,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-09,17.549999237060547,17.760000228881836,17.420000076293945,17.700000762939453,16.20840072631836,45717,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-12,17.850000381469727,18.100000381469727,17.610000610351562,18.049999237060547,16.528907775878906,90412,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-13,18.34000015258789,19.0,18.25,18.899999618530273,17.30727767944336,201761,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-14,18.760000228881836,18.979999542236328,18.6200008392334,18.860000610351562,17.270647048950195,126501,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-15,18.899999618530273,18.90999984741211,18.549999237060547,18.90999984741211,17.316434860229492,157051,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-16,18.950000762939453,18.969999313354492,18.559999465942383,18.790000915527344,17.20655059814453,67883,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-19,18.670000076293945,19.100000381469727,18.6299991607666,18.760000228881836,17.1790771484375,93728,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-20,18.90999984741211,19.079999923706055,18.760000228881836,19.0,17.39885139465332,74919,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
2015-01-21,18.899999618530273,18.989999771118164,18.5,18.780000686645508,17.197389602661133,71600,0.0,0.0,BC.MI,BC,Brunello Cucinelli,Consumer Goods
