Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,YahooTicker,Symbol,Name,Sector
2015-10-27,6.949999809265137,6.949999809265137,6.650000095367432,6.699999809265137,3.683993101119995,106539954,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-10-28,6.699999809265137,6.755000114440918,6.659999847412109,6.699999809265137,3.683993101119995,13156213,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-10-29,6.710000038146973,6.715000152587891,6.409999847412109,6.409999847412109,3.524536371231079,28478888,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-10-30,6.449999809265137,6.539999961853027,6.429999828338623,6.5,3.5740232467651367,7582779,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-02,6.514999866485596,6.644999980926514,6.474999904632568,6.599999904632568,3.6290080547332764,7027394,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-03,6.639999866485596,6.659999847412109,6.514999866485596,6.579999923706055,3.6180105209350586,3766831,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-04,6.650000095367432,6.65500020980835,6.519999980926514,6.545000076293945,3.5987658500671387,3400335,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-05,6.574999809265137,6.599999904632568,6.5,6.550000190734863,3.6015162467956543,3339094,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-06,6.574999809265137,6.670000076293945,6.554999828338623,6.650000095367432,3.656500816345215,3101119,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-09,6.675000190734863,6.744999885559082,6.514999866485596,6.514999866485596,3.5822713375091553,6819050,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-10,6.679999828338623,6.730000019073486,6.650000095367432,6.690000057220459,3.678494691848755,4960777,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-11,6.704999923706055,6.75,6.65500020980835,6.690000057220459,3.678494691848755,2608332,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-12,6.715000152587891,6.739999771118164,6.659999847412109,6.699999809265137,3.683993101119995,1293624,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-13,6.704999923706055,6.75,6.684999942779541,6.75,3.7114853858947754,1919381,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-16,6.679999828338623,6.769999980926514,6.65500020980835,6.75,3.7114853858947754,2098804,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-17,6.764999866485596,6.809999942779541,6.75,6.760000228881836,3.716984510421753,4036270,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-18,6.769999980926514,6.769999980926514,6.735000133514404,6.75,3.7114853858947754,917924,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-19,6.775000095367432,6.804999828338623,6.739999771118164,6.804999828338623,3.741727352142334,2001676,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-20,6.784999847412109,6.800000190734863,6.739999771118164,6.789999961853027,3.7334790229797363,1877871,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-23,6.78000020980835,6.789999961853027,6.710000038146973,6.75,3.7114853858947754,1833182,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-24,6.744999885559082,6.78000020980835,6.690000057220459,6.78000020980835,3.7279815673828125,1708167,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-25,6.769999980926514,6.804999828338623,6.75,6.789999961853027,3.7334790229797363,1975465,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-26,6.789999961853027,6.889999866485596,6.784999847412109,6.885000228881836,3.7857158184051514,5099959,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-27,6.860000133514404,7.050000190734863,6.829999923706055,7.050000190734863,3.8764398097991943,4704860,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-11-30,7.014999866485596,7.059999942779541,6.980000019073486,7.045000076293945,3.8736917972564697,2695194,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-01,7.045000076293945,7.110000133514404,7.0,7.03000020980835,3.865443706512451,2954705,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-02,7.09499979019165,7.244999885559082,7.079999923706055,7.170000076293945,3.94242262840271,6316300,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-03,7.179999828338623,7.264999866485596,7.105000019073486,7.139999866485596,3.92592716217041,6952148,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-04,7.139999866485596,7.170000076293945,6.954999923706055,7.059999942779541,3.88193941116333,3969691,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-07,7.050000190734863,7.159999847412109,7.039999961853027,7.150000095367432,3.931425094604492,3082169,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-08,7.139999866485596,7.210000038146973,7.090000152587891,7.179999828338623,3.94792103767395,1706870,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-09,7.150000095367432,7.175000190734863,7.074999809265137,7.090000152587891,3.89843487739563,2378761,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-10,7.074999809265137,7.114999771118164,7.039999961853027,7.050000190734863,3.8764398097991943,2026878,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-11,7.074999809265137,7.135000228881836,6.949999809265137,6.949999809265137,3.821455955505371,3294546,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-14,6.949999809265137,6.980000019073486,6.715000152587891,6.75,3.7114853858947754,3079614,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-15,6.829999923706055,6.929999828338623,6.804999828338623,6.840000152587891,3.760971784591675,2103870,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-16,6.914999961853027,6.989999771118164,6.849999904632568,6.909999847412109,3.7994608879089355,2790385,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-17,7.0,7.144999980926514,6.965000152587891,7.09499979019165,3.901183843612671,4350716,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-18,7.050000190734863,7.159999847412109,6.985000133514404,7.159999847412109,3.9369235038757324,21564431,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-21,7.130000114440918,7.179999828338623,7.070000171661377,7.114999771118164,3.9121804237365723,3159925,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-22,7.130000114440918,7.159999847412109,7.065000057220459,7.09499979019165,3.901183843612671,2403169,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-23,7.150000095367432,7.179999828338623,7.09499979019165,7.150000095367432,3.931425094604492,2286012,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-28,7.139999866485596,7.164999961853027,7.09499979019165,7.099999904632568,3.9039320945739746,1413348,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-29,7.125,7.159999847412109,7.105000019073486,7.150000095367432,3.931425094604492,1713027,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-30,7.125,7.150000095367432,7.090000152587891,7.099999904632568,3.9039320945739746,1322584,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2015-12-31,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,3.9039320945739746,0,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-04,7.070000171661377,7.070000171661377,6.945000171661377,6.965000152587891,3.8297030925750732,2528308,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-05,7.010000228881836,7.199999809265137,6.994999885559082,7.199999809265137,3.9589178562164307,2915334,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-06,7.195000171661377,7.199999809265137,7.045000076293945,7.090000152587891,3.89843487739563,3078602,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-07,7.0,7.199999809265137,6.985000133514404,7.050000190734863,3.8764398097991943,4700117,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-08,7.059999942779541,7.099999904632568,6.96999979019165,6.985000133514404,3.840700626373291,3175454,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-11,6.994999885559082,7.045000076293945,6.920000076293945,6.920000076293945,3.804960012435913,2908403,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-12,6.909999847412109,7.114999771118164,6.900000095367432,7.085000038146973,3.8956854343414307,2746273,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-13,7.09499979019165,7.170000076293945,7.074999809265137,7.170000076293945,3.94242262840271,2913579,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-14,7.079999923706055,7.144999980926514,7.019999980926514,7.130000114440918,3.920428991317749,4265893,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-15,7.059999942779541,7.170000076293945,6.985000133514404,7.039999961853027,3.8709418773651123,6618435,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-18,7.045000076293945,7.110000133514404,6.760000228881836,6.829999923706055,3.7554733753204346,4884004,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-19,6.940000057220459,6.954999923706055,6.664999961853027,6.699999809265137,3.683993101119995,6297560,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-20,6.630000114440918,6.675000190734863,6.28000020980835,6.329999923706055,3.48054838180542,9711552,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-21,6.360000133514404,6.590000152587891,6.179999828338623,6.574999809265137,3.615262031555176,7689124,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-22,6.710000038146973,6.885000228881836,6.605000019073486,6.659999847412109,3.661999225616455,7900794,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-25,6.71999979019165,6.775000095367432,6.510000228881836,6.519999980926514,3.5850210189819336,4242158,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-26,6.5,6.764999866485596,6.449999809265137,6.710000038146973,3.6894915103912354,3611729,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-27,6.75,6.795000076293945,6.644999980926514,6.795000076293945,3.7362289428710938,3030496,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-28,6.789999961853027,6.815000057220459,6.635000228881836,6.65500020980835,3.659249782562256,3698030,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-01-29,6.784999847412109,6.824999809265137,6.710000038146973,6.824999809265137,3.7527241706848145,3302775,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-02-01,6.824999809265137,6.829999923706055,6.53000020980835,6.639999866485596,3.6510021686553955,6554525,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-02-02,6.644999980926514,6.65500020980835,6.389999866485596,6.5,3.5740232467651367,4723954,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
2016-02-03,6.510000228881836,6.519999980926514,6.295000076293945,6.300000190734863,3.4640533924102783,3707820,0.0,0.0,PST.MI,PST,Poste Italiane,Financial Services
