Date,shares_outstanding,Symbol,YahooTicker
2016-05-13,3070990000,A2A,A2A.MI
2016-05-13,3109180000,A2A,A2A.MI
2016-11-12,3109179904,A2A,A2A.MI
2016-11-12,3109180000,A2A,A2A.MI
2018-11-14,3109179904,A2A,A2A.MI
2018-11-15,3109179904,A2A,A2A.MI
2018-11-19,3109179904,A2A,A2A.MI
2018-11-21,3109179904,A2A,A2A.MI
2018-11-22,3109179904,A2A,A2A.MI
2018-11-26,3109179904,A2A,A2A.MI
2018-11-28,3109179904,A2A,A2A.MI
2018-11-29,3109179904,A2A,A2A.MI
2018-12-02,3109179904,A2A,A2A.MI
2018-12-03,3109179904,A2A,A2A.MI
2018-12-04,3109179904,A2A,A2A.MI
2018-12-06,3109179904,A2A,A2A.MI
2018-12-07,3109179904,A2A,A2A.MI
2018-12-09,3109179904,A2A,A2A.MI
2018-12-10,3109179904,A2A,A2A.MI
2018-12-11,3109179904,A2A,A2A.MI
2018-12-12,3109179904,A2A,A2A.MI
2018-12-14,3109179904,A2A,A2A.MI
2018-12-17,3109179904,A2A,A2A.MI
2018-12-19,3109179904,A2A,A2A.MI
2018-12-21,3109179904,A2A,A2A.MI
2018-12-30,3109179904,A2A,A2A.MI
2018-12-31,3109179904,A2A,A2A.MI
2019-01-05,3109179904,A2A,A2A.MI
2019-01-07,3109179904,A2A,A2A.MI
2019-01-08,3109179904,A2A,A2A.MI
2019-01-09,3109179904,A2A,A2A.MI
2019-01-10,3109179904,A2A,A2A.MI
2019-01-12,3109179904,A2A,A2A.MI
2019-01-14,3109179904,A2A,A2A.MI
2019-01-16,3109179904,A2A,A2A.MI
2019-01-17,3109179904,A2A,A2A.MI
2019-01-20,3109179904,A2A,A2A.MI
2019-01-22,3109179904,A2A,A2A.MI
2019-01-25,3109179904,A2A,A2A.MI
2019-01-26,3109179904,A2A,A2A.MI
2019-01-28,3109179904,A2A,A2A.MI
2019-01-30,3109179904,A2A,A2A.MI
2019-02-04,3109179904,A2A,A2A.MI
2019-02-07,3109179904,A2A,A2A.MI
2019-02-10,3109179904,A2A,A2A.MI
2019-02-11,3109179904,A2A,A2A.MI
2019-02-13,3109179904,A2A,A2A.MI
2019-02-14,3109179904,A2A,A2A.MI
2019-02-15,3109179904,A2A,A2A.MI
2019-02-17,3109179904,A2A,A2A.MI
2019-02-18,3109179904,A2A,A2A.MI
2019-02-20,3109179904,A2A,A2A.MI
2019-03-01,3109179904,A2A,A2A.MI
2019-03-07,3109179904,A2A,A2A.MI
2019-03-09,3109179904,A2A,A2A.MI
2019-03-10,3109179904,A2A,A2A.MI
2019-03-11,3109179904,A2A,A2A.MI
2019-03-14,3109179904,A2A,A2A.MI
2019-03-17,3109179904,A2A,A2A.MI
2019-03-26,3109179904,A2A,A2A.MI
2019-03-29,3109179904,A2A,A2A.MI
2019-04-01,3109179904,A2A,A2A.MI
2019-04-02,3109179904,A2A,A2A.MI
2019-04-05,3109179904,A2A,A2A.MI
2019-04-11,3109179904,A2A,A2A.MI
2019-04-14,3109179904,A2A,A2A.MI
2019-04-15,3109179904,A2A,A2A.MI
2019-04-17,3109179904,A2A,A2A.MI
2019-04-19,3109179904,A2A,A2A.MI
2019-04-21,3109179904,A2A,A2A.MI
2019-04-23,3109179904,A2A,A2A.MI
2019-04-29,3109179904,A2A,A2A.MI
2019-05-01,3109179904,A2A,A2A.MI
2019-05-02,3109179904,A2A,A2A.MI
2019-05-03,3109179904,A2A,A2A.MI
2019-05-05,3109179904,A2A,A2A.MI
2019-05-07,3109179904,A2A,A2A.MI
2019-05-09,3109179904,A2A,A2A.MI
2019-05-11,3109179904,A2A,A2A.MI
2019-05-12,3109179904,A2A,A2A.MI
2019-05-13,3109179904,A2A,A2A.MI
2019-05-19,3109179904,A2A,A2A.MI
2019-05-20,3109179904,A2A,A2A.MI
2019-05-22,3109179904,A2A,A2A.MI
2019-05-23,3109179904,A2A,A2A.MI
2019-05-28,3109179904,A2A,A2A.MI
2019-05-31,3109179904,A2A,A2A.MI
2019-06-03,3109179904,A2A,A2A.MI
2019-06-04,3109179904,A2A,A2A.MI
2019-06-05,3109179904,A2A,A2A.MI
2019-06-06,3109179904,A2A,A2A.MI
2019-06-10,3109179904,A2A,A2A.MI
2019-06-11,3109179904,A2A,A2A.MI
2019-06-12,3109179904,A2A,A2A.MI
2019-06-17,3109179904,A2A,A2A.MI
2019-06-21,3109179904,A2A,A2A.MI
2019-06-23,3109179904,A2A,A2A.MI
2019-06-24,3109179904,A2A,A2A.MI
2019-06-26,3154739968,A2A,A2A.MI
2019-06-27,3109179904,A2A,A2A.MI
2019-07-03,3177550080,A2A,A2A.MI
2019-07-04,3109179904,A2A,A2A.MI
2019-07-05,3068780032,A2A,A2A.MI
